d34S	area*fraction max S c/s
-31.1	5
-39.9	14
-33.7	8
-37.6	19
-31.4	3
-46.5	1
-36.8	1
-25.5	1
-34.7	2
-33.1	1
-34.1	4
-33.8	6
-34.3	3
-36.5	2
-38.8	1
-39.2	1
-28.2	1
-36.9	3
-34.8	22
-34.6	4
-30.1	12
-35.6	5
-36.1	8
-33.9	7
-41.4	2
-37.4	4
-32.1	2
-31.2	15
-29.8	3
-35.2	41
-36	79
61.4	2
-30.7	2
-24.7	1
-37.7	3
-33.7	1
-37.3	2
-32.6	2
-33.9	7
-35.3	7
-42.1	2
-33.5	5
-27.4	6
-41.3	3
-39.4	2
-37.8	2
-34.9	14
-4.4	11
-23.8	2
-39.8	8
-37	9
-33	3
-29.3	8
45.8	3
39.3	18
-32.8	46
-27	5
-33.6	5
-31.1	8
-37.3	47
-32.8	1
-36.4	32
-32.2	2
-36.4	66
-25.7	4
-34.1	8
-30.8	6
-34.3	10
-40.5	13
69	3
66.4	4
61.9	2
29.7	2
73.1	1
11.2	5
71.3	1
20.8	2
24.6	4
32.7	2
38.8	4
53.6	3
33.5	2
-14.3	0
-36.9	69
-40.8	1
-39	3
-37.2	2
-37.8	21
78.4	33
77.7	4
80.4	6
74.9	12
-42.6	34
-41.8	2
-39.2	56
-37.5	101
-35.7	13
-34.3	3
-32.9	2
-27.6	5
-44.3	1
-34.2	3
53.7	1
-40	5
16.9	9
-19.2	4
-37.7	5
-39.7	13
-43.9	11
59.9	2
68.2	3
-34.2	4
55.8	3
-23.8	2
67.1	2
-36.2	3
-35.4	8
-38.3	10
-35	13
-35.9	17
-37	17
-40.3	8
-25.6	9
-40	16
-39.6	3
-36.9	2
-34.4	13
-34.5	14
-37.6	12
-40.1	9
-42.6	18
-37.6	10
-37.9	12
-38.4	47
-33	5
-37.5	2
-22.2	4
-21	6
-37.4	11
-38.3	15
-32	6
-42.4	76
-40.3	9
